开县铁桥镇商贸中心路网工程中标结果公告,招标代理机构：河南飞洋建设工程咨询有限公司 ,重庆海雕建筑工程有限公司,459.897707,"
				                【信息时间：2018-06-01】【字号 "
重庆江北国际机场保税港区航空货运站二期工程地质勘察工程中标结果公告,重庆机场集团有限公司,, ,"
				                【信息时间：2018-06-01】【字号 "
忠县疾病预防控制中心综合楼实验室部分装修工程中标结果公告,招标代理机构：,重庆黄金建设（集团）有限公司,669.572019,"
				                【信息时间：2018-06-01】【字号 "
金碧雅居.鹿角项目（N16-1／02、N16-3／02号地块）（20#楼（幼儿园））,,,,"
				                【信息时间：2018-06-04】【字号 "
高科.太阳座塔楼电梯供货及安装,54,,业主单位,"
				                【信息时间：2018-06-04】【字号 "
高科.太阳座塔楼电梯供货及安装,54,,业主单位,"
				                【信息时间：2018-06-04】【字号 "
重庆市开州区镇东头道河停车场及配套设施建设项目监理中标结果公告,招标代理机构：重庆荣奕工程招标代理有限公司,重庆市开县工程建设监理公司,,"
				                【信息时间：2018-06-04】【字号 "
长寿经开区基础设施明桃二路道路及附属工程（一期）勘察设计中标结果公告,重庆长寿经济技术开发区开发投资集团有限公司,重庆市市政设计研究院 , 61.8,"
				                【信息时间：2018-06-04】【字号 "
北碚区“四好农村路”天府镇大木路改建工程中标结果公告,招标代理机构：,重庆渝奥工程项目管理有限公司,234,"
				                【信息时间：2018-06-04】【字号 "
重庆开州浦里工业新区和平片区场平工程（1#地块）设计中标结果公告,招标代理机构：,重庆市市政设计研究院,按《工程勘察设计收费管理规定》,"
				                【信息时间：2018-06-04】【字号 "
长寿区2017年农村公路畅通工程（八颗街道鹿坪村）中标结果公告,招标代理机构：,重庆崯灿建筑工程有限公司,869.753363,"
				                【信息时间：2018-06-04】【字号 "
大渡口互助片区路网工程前期工作总承包,发包人电话,,,"
				                【信息时间：2018-05-22】【字号 "
黔江区2017年度农业综合开发土地治理项目三标段中标结果公告,重庆市黔江区人民政府农业综合开发办公室,重庆鑫辉电力工程有限公司,259.954061,"
				                【信息时间：2018-05-21】【字号 "
城口县沱溪河公共租赁住房室内装修工程中标结果公告,重庆兄弟建设有限公司,重庆兄弟建设有限公司,2203.041902,"
				                【信息时间：2018-05-21】【字号 "
重庆市奉节县锦山寨修缮保护工程中标结果公告,奉节县文化委员会,重庆市宣斧建筑工程有限公司,168.785954,"
				                【信息时间：2018-05-18】【字号 "
奉节县G348白帝镇至康乐镇、康乐镇至两河口升级改造工程可研及初步设计中标结果公告,奉节县交通设计室,重庆交通大学工程设计研究院有限公司,328.60,"
				                【信息时间：2018-05-16】【字号 "
江津区夏坝镇大坪村土地整理项目施工招标公告中标结果公告,重庆市江津区惠农土地开发整理有限责任公司,四川省泸州市建设工程公司,560.0803,"
				                【信息时间：2018-05-10】【字号 "
江津区油溪镇大坡村土地整理项目施工招标公告中标结果公告,招标代理机构：重庆恒昶招标代理有限公司,重庆市耀驰建设工程有限公司,792.668111,"
				                【信息时间：2018-05-10】【字号 "
龙溪街道锦坪支路道路工程中标结果公告,,,,"
				                【信息时间：2018-05-10】【字号 "
开县北部新区基础设施建设工程-开州大道西延伸段路网（二期）监理中标结果公告,重庆开州城市建设有限公司,江苏雨田工程咨询集团有限公司,,"
				                【信息时间：2018-05-11】【字号 "
重庆市万州区疾病预防控制中心业务楼建设项目,,,,"
				                【信息时间：2018-05-11】【字号 "
太和循环路K4+400~K4+640水毁段治理工程(第二次）中标结果公告,,,,"
				                【信息时间：2018-05-11】【字号 "
时装小镇A区景观提升工程设计（第二次）中标结果公告,,,,"
				                【信息时间：2018-05-11】【字号 "
桃花源旅游新城—游客集散中心至农场道路改造工程监理中标结果公告,招标代理机构：,重庆中能建设项目管理有限公司,86,"
				                【信息时间：2018-05-11】【字号 "
重庆市开州区地下综合管廊建设一期工程—丰太、大丘段PPP项目施工监理招标中标结果公告,招标代理机构：,江苏雨田工程咨询集团有限公司,,"
				                【信息时间：2018-05-11】【字号 "
开州区义和镇同治村南同路延伸段路面硬化工程中标结果公告,重庆市开州区义和镇人民政府,重庆尚邦建筑工程有限公司,4091890.30元,"
				                【信息时间：2018-05-11】【字号 "
两江-溪岸云蔚地质勘察,,,,"
				                【信息时间：2018-05-11】【字号 "
奉节县小（2）型水库大坝安全监测设施建设中标结果公告,奉节县水库管理中心,重庆强勇强科技有限公司,246,"
				                【信息时间：2018-05-11】【字号 "
奉节县公安局青莲派出所招标中标结果公告,奉节县公安局,重庆市宣斧建筑工程有限公司,496,"
				                【信息时间：2018-05-11】【字号 "
万州长江公路三桥（牌楼长江大桥）安全（健康）监测系统,,,,"
				                【信息时间：2018-05-14】【字号 "
重庆市万州区第五人民医院业务用房改建及院区环境整治项目,,,,"
				                【信息时间：2018-05-14】【字号 "
双凤桥农转非自建房外墙砖脱落整治工程中标结果公告,,,,"
				                【信息时间：2018-05-14】【字号 "
长寿区万顺镇污水管网整改工程中标结果公告,招标代理机构：,重庆中佳建筑工程有限公司,220.386171,"
				                【信息时间：2018-05-14】【字号 "
四面山旅游小镇道路改造工程招标公告中标结果公告,重庆市四面山旅游投资有限公司,江门市政企业集团有限公司,1303,"
				                【信息时间：2018-05-14】【字号 "
重庆市江南职业学校珞璜校区食堂改造工程招标公告中标结果公告, ,重庆市耀驰建设工程有限公司,230.550910,"
				                【信息时间：2018-05-14】【字号 "
开州区赵家街道移民安置小区综合帮扶项目（庭院及消防通道整治）设计中标结果公告,重庆市开州区人民政府赵家街道办事处,重庆迪赛因建设工程设计有限公司,,"
				                【信息时间：2018-05-14】【字号 "
奉节县安坪集镇移民小区综合帮扶项目勘察设计中标结果公告,奉节县安坪镇人民政府,重庆钢铁集团设计院有限公司,,"
				                【信息时间：2018-05-14】【字号 "
开州区白鹤街道四胜村2018年深化脱贫攻坚农村公路建设项目（东郭路-三合村道）中标结果公告,重庆市开州区人民政府白鹤街道办事处,重庆市鹏业建筑工程有限责任公司,239.8949,"
				                【信息时间：2018-05-14】【字号 "
万州区上海大道市民休闲广场工程地质勘察,,,,"
				                【信息时间：2018-05-15】【字号 "
盘溪河公园空地整治工程设计中标结果公告,,,,"
				                【信息时间：2018-05-15】【字号 "
象屿渝北区观音桥组团C分区C8-1/04、C13-1/04、C8-6/02号 宗地项目监理中标结果公告,,,,"
				                【信息时间：2018-05-15】【字号 "
重庆市警卫局训练基地建设项目监理中标结果公告,,,,"
				                【信息时间：2018-05-15】【字号 "
保利云禧项目Q21-5号地块一标段（1-8、13、14号楼、S1及地下车库）,,,,"
				                【信息时间：2018-05-15】【字号 "
开县北部新区基础设施建设工程-开州大道西延伸段路网（二期）中标结果公告,重庆开州城市建设有限公司,中冶建工集团有限公司,93914479.82,"
				                【信息时间：2018-05-15】【字号 "
渝高•星洲一、二、三期和营销中心工程地质勘察中标结果公告,招标代理机构：,重庆中科勘测设计有限公司,勘察单价,"
				                【信息时间：2018-05-15】【字号 "
长寿区石堰镇高庙村土地整理项目中标结果公告,招标代理机构：,重庆市羚农建设集团有限公司, 234.784133,"
				                【信息时间：2018-05-15】【字号 "
奉节县三峡后续林业项目结算编制服务中标结果公告,奉节县林业局,重庆凯弘工程咨询有限公司,79.071552,"
				                【信息时间：2018-05-15】【字号 "
花溪街道2017年创建国家卫生城区土道路人行道改造工程,,,,"
				                【信息时间：2018-05-15】【字号 "
万州老城区雨污合流式污水管网改造工程（五桥、周家坝、北山片区二、三级污水管网改造工程）勘察,,,,"
				                【信息时间：2018-05-16】【字号 "
渝北区2018年国家水土保持重点工程后河小流域项目中标结果公告,,,,"
				                【信息时间：2018-05-16】【字号 "
长寿区石堰镇朝阳村土地整理项目中标结果公告, ,重庆渝圣建筑工程有限公司,166.079284,"
				                【信息时间：2018-05-16】【字号 "
渝中区青少年交通消防安全宣传教育基地工程-装饰及交通馆科技展项中标结果公告,重庆市公安局渝中区分局,天音装饰股份有限公司,,"
				                【信息时间：2018-05-16】【字号 "
渝中区青少年交通消防安全宣传教育基地工程-消防馆科技展项中标结果公告,重庆市公安局渝中区分局,西安航美工程技术开发有限公司,,"
				                【信息时间：2018-05-16】【字号 "
万州区社区公厕新改建项目设计,,,,"
				                【信息时间：2018-05-17】【字号 "
万州经开区长星路下段（二期）土石方及边坡工程监理,,,,"
				                【信息时间：2018-05-17】【字号 "
象屿九龙坡区大杨石组团G分区G14-5-1/04号宗地项目监理,,,,"
				                【信息时间：2018-05-17】【字号 "
德感工业园区紫竹广场工程施工招标中标结果公告,重庆市德感工业园区建设有限公司,重庆尚滕建筑工程有限公司,250.9590,"
				                【信息时间：2018-05-17】【字号 "
马南大道（玉兰大道西段-温新立交）道路工程监理招标公告中标结果公告, ,重庆钓鱼城建设监理咨询有限公司,36.87,"
				                【信息时间：2018-05-17】【字号 "
江津区白沙镇行政服务中心弱电智能系统工程施工招标公告中标结果公告, ,四川伟宸建筑工程有限公司,154.250466,"
				                【信息时间：2018-05-17】【字号 "
大盛镇2018年水土保持重点工程中标结果公告,,,,"
				                【信息时间：2018-05-18】【字号 "
重庆市武隆区长坝镇简村村滑坡群应急抢险治理工程,,,,"
				                【信息时间：2018-05-18】【字号 "
观音山片区配套支路路网工程勘察,,,,"
				                【信息时间：2018-05-18】【字号 "
重庆市大渡口区重钢片区百花村隧道道路工程项目全过程跟踪审计中标结果公告,招标代理机构：,重庆天健工程咨询有限公司,107.380000,"
				                【信息时间：2018-05-18】【字号 "
平顶山公共停车库施工监理,,,,"
				                【信息时间：2018-05-18】【字号 "
奉节县2017年扶贫村撤并村通畅工程康坪乡小湾社区公路工程中标结果公告,奉节县康坪乡人民政府,重庆今力建筑工程有限公司,361,"
				                【信息时间：2018-05-18】【字号 "
地铁一号线征地拆迁黄桷湾还建房配电工程,,,,"
				                【信息时间：2018-05-18】【字号 "
黔江区国有林场林区防火公路（大转拐至窝坨）路面硬化工程中标结果公告,招标代理机构：重庆顶轶建设工程项目咨询有限公司,重庆市南川区东方红建筑工程公司,734.1625,"
				                【信息时间：2018-05-18】【字号 "
万州区瀼渡镇重岩村精准帮扶工程（道路部分）路面硬化续建工程,,,,"
				                【信息时间：2018-05-21】【字号 "
万州二中江南校区人行天桥工程,,,,"
				                【信息时间：2018-05-21】【字号 "
万州区密溪沟至长江四桥消落区综合整治工程施工图审查,,,,"
				                【信息时间：2018-05-21】【字号 "
城区景观照明工程（老城区）设计（第二次）中标结果公告,重庆市渝北区城市管理局,, ,"
				                【信息时间：2018-05-21】【字号 "
巫溪县大宁河流域乡镇（蒲莲镇、土城镇、天元乡）二三级污水管网建设项目中标结果公告,巫溪县宁之源建设开发有限公司,重庆北井建筑工程有限公司,241.224571,"
				                【信息时间：2018-05-21】【字号 "
巫溪县大宁河流域乡镇（菱角镇）、西部生态涵养区（尖山镇百步村）二三级污水管网建设项目中标结果公告,巫溪县宁之源建设开发有限公司,重庆铭丰建筑工程有限公司,291.188219,"
				                【信息时间：2018-05-21】【字号 "
奉节县2017年扶贫村撤并村通畅工程竹园镇百步（小岩）村CG30小老路中标结果公告,奉节县竹园镇人民政府,重庆洪富建筑工程有限公司,284.706200,"
				                【信息时间：2018-05-21】【字号 "
奉节县2017年扶贫村撤并村通畅工程新民镇中兴村小池路冉家营至阳家坪项目中标结果公告,奉节县新民镇人民政府,四川省天磊迅建筑工程有限公司,383,"
				                【信息时间：2018-05-21】【字号 "
江津区省道S450线李市至屏麓段旅游公路路面改造工程勘察设计招标公告中标结果公告,招标代理机构：,重庆市交通规划勘察设计院,158,"
				                【信息时间：2018-05-21】【字号 "
地铁一号线征地拆迁黄桷湾还建房配电工程,,,,"
				                【信息时间：2018-05-21】【字号 "
地铁一号线征地拆迁黄桷湾还建房配电工程,,,,"
				                【信息时间：2018-05-21】【字号 "
黔江区2017年度农业综合开发土地治理项目一标段中标结果公告,重庆市黔江区人民政府农业综合开发办公室,重庆鑫辉电力工程有限公司,259.954061,"
				                【信息时间：2018-05-21】【字号 "
黔江区2017年度农业综合开发土地治理项目二标段中标结果公告,重庆市黔江区人民政府农业综合开发办公室,重庆鑫辉电力工程有限公司,259.954061,"
				                【信息时间：2018-05-21】【字号 "
黔江区2017年度农业综合开发土地治理项目四标段中标结果公告,重庆市黔江区人民政府农业综合开发办公室,重庆鑫辉电力工程有限公司,259.954061,"
				                【信息时间：2018-05-21】【字号 "
黔江区G319线濯水至酉阳界路面改造工程施工监理中标结果公告,重庆市黔江区安畅交通建设开发有限责任公司,重庆国幅工程管理咨询有限公司 ,1.69 ,"
				                【信息时间：2018-05-21】【字号 "
万州经开区高峰生态工业园与城市外环连接道道路工程设计,,,,"
				                【信息时间：2018-05-22】【字号 "
重庆市万州三峡文化艺术中心工程监理,,,,"
				                【信息时间：2018-05-22】【字号 "
长寿北部新城渡南路西延伸段道路工程、重庆市长寿区阳鹤山片区截污干管工程（W1-W23、W42-112 段）、长寿渡舟组团（站北片区）横一路（K0+920-K2+040 段）道路工程检验测试中标结果公告,重庆长寿开发投资（集团）有限公司,重庆华盛建筑工程质量检测有限公司,16.84,"
				                【信息时间：2018-05-22】【字号 "
标准厂房外立面改造工程招标公告中标结果公告,重庆市双福建设开发有限公司,重庆宏鑫建设集团有限公司,346.697893,"
				                【信息时间：2018-05-22】【字号 "
江津区滨江新城南北大道景观升级改造工程（轻轨广场段）监理中标结果公告,招标代理机构:,福州开发区宏信建设工程监理有限公司,4.78,"
				                【信息时间：2018-05-22】【字号 "
江津区白沙镇2017年农村公路（河尚路、沙海路）建设项目招标公告中标结果公告,招标代理机构：,重庆海科交通工程建设有限公司,305,"
				                【信息时间：2018-05-22】【字号 "
奉节县2017年扶贫村撤并村通畅工程西部新区口前村长水路中标结果公告,奉节县西部新区管理委员会,重庆源安宏泰建设工程有限公司,2242063,"
				                【信息时间：2018-05-22】【字号 "
长寿区江南街道扇沱集镇综合帮扶项目施工图设计中标结果公告,招标代理机构:重庆海正工程招标代理有限公司,重庆大恒建筑设计有限公司,32,"
				                【信息时间：2018-05-23】【字号 "
万州区陈太路替代公路（黄翠路K28+000-K31+600)工程,,,,"
				                【信息时间：2018-05-23】【字号 "
重庆市长寿区特色效益农业产学研一体示范基地项目设计中标结果公告,重庆市长寿区城乡统筹开发有限公司,重庆大恒建筑设计有限公司,26,"
				                【信息时间：2018-05-23】【字号 "
长寿区北部新城横三路道路工程（渡舟组团）东段第三方检测中标结果公告,招标代理机构：,重庆华盛建筑工程质量检测有限公司,16,"
				                【信息时间：2018-05-23】【字号 "
潼南工业园区东区J2道路延长段工程设计中标结果公告,招标代理机构：,重庆纵横工程设计有限公司,49.068,"
				                【信息时间：2018-05-23】【字号 "
石柱县工业园B区标准厂房（二期）项目（一组团）监理中标结果公告,招标代理机构：,重庆兴达建设监理有限公司,74.70,"
				                【信息时间：2018-05-23】【字号 "
大盛镇中心场镇道路改造项目中标结果公告,,,,"
				                【信息时间：2018-05-23】【字号 "
奉节县2017年草堂河流域农业面源污染综合治理项目（二期）中标结果公告,奉节县土肥站,四川鲁工建设工程有限责任公司,367,"
				                【信息时间：2018-05-23】【字号 "
奉节县永乐镇江南村农村移民安置区精准帮扶项目中标结果公告,奉节县永乐镇人民政府,重庆市万州路桥总公司, 784.952756 万元,"
				                【信息时间：2018-05-23】【字号 "
江津区白沙镇2017年农村公路（广道路、王月路）建设项目招标公告中标结果公告,招标代理机构： 四川旭日工程项目管理有限公司                  ,重庆海科交通工程建设有限公司 ,313,"
				                【信息时间：2018-05-23】【字号 "
江津区夏坝镇双新村土地整理项目施工招标公告中标结果公告,招标代理机构：重庆凯弘工程咨询有限公司,四川嘉翔建筑工程有限公司,552,"
				                【信息时间：2018-05-08】【字号 "
奉节县康坪乡集镇白改黑及配套设施工程中标结果公告,奉节县康坪乡人民政府,重庆浩达建筑工程有限公司,269.062311 ,"
				                【信息时间：2018-05-04】【字号 "
万州江南新区人头石统建还房（六期）—景观工程,,,,"
				                【信息时间：2018-05-04】【字号 "
万州区2018年度区级土地开发整理项目五标段（万州区恒合乡玉都村土地整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
巫山县曲尺乡月明村、曲尺村、龙洞村、朝阳村、权发村、伍佰村和新安居委、柑园村农村移民安置区精准帮扶项目七标段,,,,"
				                【信息时间：2018-05-02】【字号 "
巫山县曲尺乡月明村、曲尺村、龙洞村、朝阳村、权发村、伍佰村和新安居委、柑园村农村移民安置区精准帮扶项目五标段,,,,"
				                【信息时间：2018-04-28】【字号 "
县道芦池至大坝改造工程勘察设计中标结果公告,重庆市长寿区交通委员会,湖北中广公路勘察设计有限公司,44.8793,"
				                【信息时间：2018-04-28】【字号 "
巫山县曲尺乡月明村、曲尺村、龙洞村、朝阳村、权发村、伍佰村和新安居委、柑园村农村移民安置区精准帮扶项目四标段,,,,"
				                【信息时间：2018-04-28】【字号 "
巫山县曲尺乡月明村、曲尺村、龙洞村、朝阳村、权发村、伍佰村和新安居委、柑园村农村移民安置区精准帮扶项目四标段,,,,"
				                【信息时间：2018-04-28】【字号 "
巫山县曲尺乡月明村、曲尺村、龙洞村、朝阳村、权发村、伍佰村和新安居委、柑园村农村移民安置区精准帮扶项目六标段,,,,"
				                【信息时间：2018-04-28】【字号 "
巫山县曲尺乡月明村、曲尺村、龙洞村、朝阳村、权发村、伍佰村和新安居委、柑园村农村移民安置区精准帮扶项目七标段,,,,"
				                【信息时间：2018-04-28】【字号 "
鼎山大道延伸线道路工程勘察设计中标结果公告,招标代理机构：,林同棪国际工程咨询（中国）有限公司、重庆市二零八勘察设计院,83,"
				                【信息时间：2018-04-28】【字号 "
北城大道景观绿化工程EPC总承包项目中标结果公告, ,重庆市园林工程建设有限公司,,"
				                【信息时间：2018-04-28】【字号 "
万州经开区高峰园檬子标准厂房建设（二期）工程（一标段）,,,,"
				                【信息时间：2018-05-02】【字号 "
开县工业园区临港移民生态园临港一路高切坡治理工程勘察中标结果公告,招标代理机构：,重庆宏源勘测设计有限公司,《工程勘察设计收费管理规定》（计价格,"
				                【信息时间：2018-05-02】【字号 "
重庆市垫江县人民医院三级甲等综合医院（一期内科综合楼及垫江县牡丹康乐养护服务中心、放疗及培训中心部分）建设项目室内外装饰设计中标结果公告,重庆市垫江县人民医院,重庆大学建筑规划设计研究总院有限公司,116.8,"
				                【信息时间：2018-05-02】【字号 "
奉节县口前污水处理厂二期扩建及提标改造项目监理中标结果公告,重庆市水务资产经营有限公司,四川华达建设工程管理有限公司,监理费取费,"
				                【信息时间：2018-05-02】【字号 "
忠县涂井集镇移民安置小区综合帮扶项目（施工）中标结果公告,忠县涂井乡人民政府,重庆杉木建筑工程有限公司, 542.759680,"
				                【信息时间：2018-05-02】【字号 "
G211马鞍至齐圣岔路口改造工程中标结果公告,招标代理机构：重庆航景工程咨询有限公司,重庆公路养护工程（集团）有限公司,1491.976698,"
				                【信息时间：2018-05-03】【字号 "
重庆市万州三峡文化艺术中心一期大剧院,,,,"
				                【信息时间：2018-05-03】【字号 "
万州区2018年度区级土地开发整理项目六标段（万州区太安镇钟刘村土地整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
万州区2018年度区级土地开发整理项目四标段（万州区白土镇大林村土地整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
万州区2018年度区级土地开发整理项目二标段（万州区后山镇天缘等（2）个村土地开发整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
万州区2018年度区级土地开发整理项目三标段（万州区白土镇五龙等(2)个村土地整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
万州区2018年度区级土地开发整理项目一标段（万州区溪口乡玉竹等（3）个村土地开发整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
万州区2018年度区级土地开发整理项目七标段（万州区后山镇天池村土地开发整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
万州区2018年度区级土地开发整理项目八标段（万州区郭村镇向泥村土地整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
万州区2018年度区级土地开发整理项目九标段（万州区武陵镇下中等（3）个村土地整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
万州区2018年度区级土地开发整理项目十标段（万州区响水镇联合村土地整理项目）,,,,"
				                【信息时间：2018-05-03】【字号 "
联发.山水谣（三期）5-9、32号楼,,,,"
				                【信息时间：2018-05-03】【字号 "
忠县国道G348汝溪至涂井段改建工程（监理）中标结果公告,忠县畅达建设投资有限公司,厦门高诚信工程技术有限公司,175.7816,"
				                【信息时间：2018-05-03】【字号 "
龙家湾、黄沙溪隧道病害处治及美化工程中标结果公告,招标代理机构,,,"
				                【信息时间：2018-05-03】【字号 "
半岛•驿站交付区景观及配套设施工程中标结果公告,招标代理机构：,珠海御园景观工程有限公司,9,"
				                【信息时间：2018-05-03】【字号 "
重庆奉节白帝城文物保护设施及环境整治工程（创5A）中标结果公告,重庆奉节旅游开发有限公司,重庆市仁信建筑工程有限公司,343,"
				                【信息时间：2018-05-03】【字号 "
鸡冠石污水处理厂提标改造工程工程造价全过程跟踪审计（含结算）,,,,"
				                【信息时间：2018-05-03】【字号 "
重庆市奉节县赤甲山交通工程(第二次）中标结果公告,重庆奉节旅游开发有限公司,四川矿山机器（集团）有限责任公司,1788.175442,"
				                【信息时间：2018-05-03】【字号 "
重庆高速公路集团有限公司东北营运分公司2018年边坡水毁处治工程,,,,"
				                【信息时间：2018-05-03】【字号 "
渝北区市民服务中心项目监理中标结果公告,,,,"
				                【信息时间：2018-05-03】【字号 "
万州经开区污水处理厂环境监测及应急响应能力提升（一期）工程-大型监测设备采购（第二次）,,,,"
				                【信息时间：2018-05-04】【字号 "
丰都县三建乡青脆李产业精准扶贫项目中标结果公告,招标代理机构：,重庆广利建设工程有限公司,1433.899568,"
				                【信息时间：2018-05-04】【字号 "
璧山区儿童公园工程WC线污水干管工程（儿童公园段）和景观步道工程中标结果公告,招标代理机构：,中国电建集团重庆工程有限公司,2572,"
				                【信息时间：2018-05-04】【字号 "
江津区两岔小学教学综合楼工程及两岔小学校内操场土石方移除及硬化工程招标公告中标结果公告,招标代理机构：,重庆市羚农建设集团有限公司,343,"
				                【信息时间：2018-05-04】【字号 "
"忠县生态工业园道路、绿化工程（一期）主二路道路(K0+000─K0+591.55,K1+265─K3+663.654段)",,,,"
				                【信息时间：2018-05-04】【字号 "
重庆国梦城改建项目（EPC）工程监理中标结果公告,招标代理机构（公章）,重庆亚太工程建设监理有限公司,   ,"
				                【信息时间：2018-05-04】【字号 "
珞璜工业园绕城南片区污水处理系统工程勘察设计招标公告中标结果公告,招标代理机构：重庆恒昶招标代理有限公司,中冶建工集团有限公司,79,"
				                【信息时间：2018-05-04】【字号 "
保税港区空港功能区道路绿化建设三标段施工,,,,"
				                【信息时间：2018-05-04】【字号 "
重庆市武陵监狱后续监理中标结果公告,招标代理机构：重庆招标采购（集团）有限责任公司,四川现代建设咨询监理有限公司,18.0625,"
				                【信息时间：2018-05-04】【字号 "
奉节县高山生态扶贫搬迁融资资金吐祥镇集镇白改黑及配套设施工程中标结果公告,奉节县吐祥镇人民政府,重庆兴利园林工程有限公司,487,"
				                【信息时间：2018-05-04】【字号 "
生物医药园O19-4地块平场工程,,,,"
				                【信息时间：2018-05-04】【字号 "
万州区杨柳水厂及配套管网工程（三水厂搬迁）-取水泵房及预处理厂监理,,,,"
				                【信息时间：2018-05-07】【字号 "
古路镇希望村4社江家湾滑坡应急治理工程中标结果公告,,,,"
				                【信息时间：2018-05-07】【字号 "
奉节县安坪镇集镇白改黑及配套设施工程中标结果公告,奉节县,奉节县华东建筑工程有限责任公司                                            ,,"
				                【信息时间：2018-05-07】【字号 "
2018年渝北区大盛镇“四好农村路”（通组硬化公路）建设工程四标段中标结果公告,,,,"
				                【信息时间：2018-05-07】【字号 "
2018年渝北区大盛镇“四好农村路”（通组硬化公路）建设工程五标段中标结果公告,,,,"
				                【信息时间：2018-05-07】【字号 "
黔江区G319线濯水至酉阳界路面改造工程中标结果公告,招标代理机构：,重庆市实力公路开发有限公司,1948.8574,"
				                【信息时间：2018-05-07】【字号 "
万州区瀼渡河水环境综合整治工程,,,,"
				                【信息时间：2018-05-08】【字号 "
重庆市万州区第一人民医院门诊住院综合楼洁净手术部,,,,"
				                【信息时间：2018-05-08】【字号 "
德感工业园北部1#片区场平整治工程施工监理(第二次)招标公告中标结果公告,重庆市德感工业园区建设有限公司,中煤科工集团重庆设计研究院有限公司,11.68,"
				                【信息时间：2018-05-08】【字号 "
重庆市潼南区人民医院创建“三甲”医院建设项目施工阶段工程造价全过程控制中标结果公告,重庆市潼南区人民医院,重庆精聚达建筑工程咨询有限公司,174.811,"
				                【信息时间：2018-05-08】【字号 "
重庆市荣昌区妇幼保健院综合楼暨康复中心联建 工程勘察、设计中标结果公告,重庆市荣昌区妇幼保健院,中国华西工程设计建设有限公司,158,"
				                【信息时间：2018-05-08】【字号 "
古镇老街临河面旅游风貌整治和灯饰项目招标公告中标结果公告, ,重庆市渝中区第九建筑工程公司, ,"
				                【信息时间：2018-05-08】【字号 "
江津区西湖镇骆来村土地整理项目中标结果公告,重庆市江津区惠农土地开发整理有限责任公司,重庆市万州区鹏飞建筑工程有限公司, ,"
				                【信息时间：2018-05-08】【字号 "
银联商务股份有限公司重庆分公司办公室装修工程中标结果公告,,,,"
				                【信息时间：2018-05-08】【字号 "
开州区长沙镇、大德镇、太原场镇雨污分流改造项目勘察中标结果公告,招标代理机构（公章）：,重庆宏源勘测设计有限公司,按《工程勘察设计收费管理规定》(2002修订本执行)的78.8%计取,"
				                【信息时间：2018-05-08】【字号 "
开州区中兴场镇、天和镇、九龙山镇雨污分流改造项目勘察中标结果公告,招标代理机构（公章）：,重庆迪赛因建设工程设计有限公司,按《工程勘察设计收费管理规定》(2002修订本执行)的7,"
				                【信息时间：2018-05-08】【字号 "
松鹤路道路工程（二、三期)项目中标结果公告,,,,"
				                【信息时间：2018-05-08】【字号 "
万州经开区九龙园九胜二支路道路工程,,,,"
				                【信息时间：2018-05-09】【字号 "
万州区余家镇公共服务中心改扩建项目,,,,"
				                【信息时间：2018-05-09】【字号 "
万州区钟鼓楼街道玉安社区（滴水岩-小岩口）不稳定斜坡、九道拐滑坡专业监测工程招标,,,,"
				                【信息时间：2018-05-09】【字号 "
乌杨新区中学校建设项目EPC（施工图设计、采购、施工总承包）监理,,,,"
				                【信息时间：2018-05-09】【字号 "
开州区中和镇、三汇口乡、三合场镇雨污分流改造项目勘察中标结果公告,招标代理机构（公章）：,重庆泽通勘测设计有限公司,按《工程勘察设计收费管理规定》(2002修订本执行)的75.69%计取,"
				                【信息时间：2018-05-09】【字号 "
东湖一支路（二期）工程中标结果公告,招标代理机构：,重庆三峡城市建筑工程有限公司　,346.121564,"
				                【信息时间：2018-05-09】【字号 "
重庆市万州区城市供水引水工程（烟草援建工程）水泥采购（第二次）,,,,"
				                【信息时间：2018-05-10】【字号 "
渝中区公安分局业务技术用房弱电智能化项目中标结果公告,招标代理机构：,南京恒天伟智能技术有限公司,1711,"
				                【信息时间：2018-05-10】【字号 "
茶园新区B42-1/03地块小学校新建工程设计中标结果公告,招标代理机构（公章）,中煤科工集团重庆设计研究院有限公司,设计费投标报价 ,"
				                【信息时间：2018-05-10】【字号 "
M69地块周边（东侧、西侧）道路勘察中标结果公告,招标代理机构：,中冶建工集团有限公司,156.23,"
				                【信息时间：2018-05-10】【字号 "
奉节县2017年河道管理范围划界工作一标段中标结果公告,奉节县水利工程管理站,重庆江源工程勘察设计有限公司,1943550.00 ,"
				                【信息时间：2018-05-10】【字号 "
奉节县2017年河道管理范围划界工作二标段中标结果公告,奉节县水利工程管理站,重庆江源工程勘察设计有限公司,1943550.00 ,"
				                【信息时间：2018-05-10】【字号 "
