帖子名称,发帖人ID,发帖人progression,发帖时间,发帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following,回帖人ID,回帖人progression,回帖时间,回帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,Mayur,novice,2019-03-14T10:35:20.847Z,3159,1,1,0,1,Pune-India,2018-01-20T10:04:40.497Z,0,3
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,🐳,expert,2019-03-17T22:27:53.217Z,503,39,36,3,27,St. John\u0027s-Canada,2018-02-23T06:25:23.607Z,1,7
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,HelloWorld,novice,2019-03-14T17:48:47.23Z,,1,1,0,2,Jalandhar-India,2018-10-02T14:03:39.41Z,0,0
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,tamed0g,novice,2019-03-15T03:05:20.947Z,6030,1,1,0,0,-,2018-07-02T16:04:46.37Z,0,8
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,Pritesh Shrivastava,expert,2019-03-14T07:05:11.283Z,7817,150,146,4,76,Mumbai-India,2014-08-28T17:17:38.337Z,9,73
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,Costa.Medvedev,contributor,2019-03-13T17:30:03.907Z,4289,61,54,7,40,Oshawa-Canada,2018-09-17T13:16:58.98Z,3,7
DIFFERENT COUNT PLOTS TRAN VS TEST,Orange,expert,2019-04-10T01:26:12.563Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6,spongebob,master,2019-04-10T02:30:30.717Z,12,165,141,24,395,北京市-China,2017-03-23T02:51:17.263Z,130,50
How to do EDA?,Frank Puk,expert,2019-04-04T17:23:07.907Z,1144,168,154,14,130,Arlington-United States,2014-02-28T07:35:31.54Z,15,136,Aman.cyberia,expert,2019-04-08T21:44:12.797Z,1622,95,62,33,293,Dublin-Ireland,2016-03-08T20:17:09.9Z,7,103
Is it possible that Private LB will be completely different ranking than Public LB?,YonglinZhu,contributor,2019-04-08T02:59:29.947Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,CPMP,grandmaster,2019-04-09T13:14:02.877Z,15,5018,4781,237,12237,-France,2012-12-16T12:03:05.527Z,2106,0
A magic-hunting music playlist...,happycube,expert,2019-04-07T16:52:51.66Z,247,648,628,20,741,Goleta-United States,2015-07-29T05:24:06.363Z,22,6,Tilii,grandmaster,2019-04-07T19:26:16.067Z,2952,1445,1352,93,5021,-USA,2016-03-06T08:29:19.203Z,521,0
Optimize NN parameters for a function different from the loss function?,Mattia Vanzetto,novice,2019-04-11T09:49:40.237Z,2540,19,16,3,3,Padua-Italy,2018-06-20T08:04:24.663Z,0,4,Chris Deotte,master,2019-04-12T05:31:13.017Z,50,1707,1676,31,4649,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
Question to all Grandmasters and Uncles out there,AmirH,expert,2019-04-07T17:55:11.97Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,raddar,grandmaster,2019-04-07T21:07:46.387Z,55,622,585,37,2838,Vilnius-Lithuania,2015-08-24T11:49:01.703Z,1442,9
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,charlie_s,novice,2019-03-13T14:09:47.717Z,2873,101,97,4,106,-,2018-10-17T22:11:07.913Z,2,0
DIFFERENT COUNT PLOTS TRAN VS TEST,Orange,expert,2019-04-10T01:26:12.563Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6,Daniel Möller,expert,2019-04-10T04:14:42.837Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1
How to do EDA?,Frank Puk,expert,2019-04-04T17:23:07.907Z,1144,168,154,14,130,Arlington-United States,2014-02-28T07:35:31.54Z,15,136,Audhi Aprilliant,contributor,2019-04-08T16:35:24.53Z,,2,2,0,1,Bogor Barat-West Java,2017-11-13T07:40:56.463Z,0,2
Is it possible that Private LB will be completely different ranking than Public LB?,YonglinZhu,contributor,2019-04-08T02:59:29.947Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,Tilii,grandmaster,2019-04-08T04:13:08.233Z,2952,1445,1352,93,5021,-USA,2016-03-06T08:29:19.203Z,521,0
A magic-hunting music playlist...,happycube,expert,2019-04-07T16:52:51.66Z,247,648,628,20,741,Goleta-United States,2015-07-29T05:24:06.363Z,22,6,Lukasz Grad,master,2019-04-07T18:13:40.523Z,13,89,86,3,214,Warsaw-Poland,2017-06-23T09:53:29.657Z,53,2
Question to all Grandmasters and Uncles out there,AmirH,expert,2019-04-07T17:55:11.97Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,CPMP,grandmaster,2019-04-07T18:23:35.523Z,15,5018,4781,237,12237,-France,2012-12-16T12:03:05.527Z,2106,0
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,ozan.özgür,contributor,2019-03-13T16:05:57.167Z,2397,26,22,4,27,Istanbul-Turkey,2018-07-06T17:56:59.413Z,3,7
DIFFERENT COUNT PLOTS TRAN VS TEST,Orange,expert,2019-04-10T01:26:12.563Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6,LongYin,expert,2019-04-10T06:35:42.43Z,243,518,502,16,445,南京市-中国,2017-08-10T08:06:00.193Z,121,141
How to do EDA?,Frank Puk,expert,2019-04-04T17:23:07.907Z,1144,168,154,14,130,Arlington-United States,2014-02-28T07:35:31.54Z,15,136,Dan MacGirr,contributor,2019-04-07T18:20:42.287Z,6088,2,2,0,1,Toronto-Canada,2019-01-21T03:36:30.263Z,1,1
Is it possible that Private LB will be completely different ranking than Public LB?,YonglinZhu,contributor,2019-04-08T02:59:29.947Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,KyeongHwanKim,expert,2019-04-08T03:30:30.007Z,29,33,31,2,49,Incheon-South Korea,2017-08-25T05:30:27.08Z,12,10
Howcome the teams are increasing after merger deadline.,Ashish Gupta,expert,2019-04-10T18:43:06.89Z,,200,171,29,418,Toronto-Canada,2018-05-16T17:52:44.15Z,78,94,Ahmet Erdem,master,2019-04-10T18:45:22.393Z,55,216,195,21,1092,Amsterdam-Netherlands,2015-11-22T15:08:14.03Z,222,15
Will the results of this private Leaderboard change?,zhuangzhuang hong,novice,2019-04-11T14:21:16.84Z,738,7,1,6,33,-,2019-02-06T02:53:30.023Z,0,1,dhaqui the kaggler,expert,2019-04-11T14:30:49.083Z,1016,156,153,3,86,Tokyo-Japan,2018-11-19T07:36:04.663Z,9,6
"Any ideas, 0.910s ?",Neil Gao,expert,2019-04-09T14:06:48.01Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,Vasily Ryazanov,master,2019-04-09T14:15:17.17Z,21,11,9,2,45,-Russian Federation,2013-10-04T20:07:09.76Z,23,2
When will the final results be in?,Roman Rosh,novice,2019-04-10T22:42:22.837Z,6778,1,0,1,2,Tel Aviv-Yafo-Israel,2018-06-22T02:06:07.557Z,0,4,CPMP,grandmaster,2019-04-10T23:47:49.563Z,15,5018,4781,237,12237,-France,2012-12-16T12:03:05.527Z,2106,0
Maybe memes are the solution?,Kamal Chhirang,expert,2019-03-31T08:21:54.523Z,1353,155,136,19,257,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,MKotarba,contributor,2019-03-31T10:10:13.857Z,1493,19,19,0,108,Kraków-Poland,2017-10-25T11:23:56.957Z,0,10
"Thank U, Next!",Akash Ravichandran,expert,2019-04-11T12:32:14.053Z,721,123,105,18,116,Chennai-India,2017-11-27T06:50:59.683Z,13,194,Ilya Khristoforov,expert,2019-04-11T13:41:32.14Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
Thanks to all of you!!!,Vivek Kumar,contributor,2019-04-11T12:56:58.373Z,740,7,5,2,5,Chennai-India,2018-01-24T13:29:38.273Z,1,0,Eric Freeman,contributor,2019-04-11T13:47:46.33Z,1755,30,28,2,50,Boston-USA,2014-01-14T21:59:46.357Z,0,4
A magic-hunting music playlist...,happycube,expert,2019-04-07T16:52:51.66Z,247,648,628,20,741,Goleta-United States,2015-07-29T05:24:06.363Z,22,6,fatihöztürk,master,2019-04-07T18:05:17.76Z,15,330,315,15,762,Istanbul-Turkey,2017-01-11T21:07:23.58Z,151,10
Question to all Grandmasters and Uncles out there,AmirH,expert,2019-04-07T17:55:11.97Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,Vopani,grandmaster,2019-04-08T11:10:35.963Z,27,93,80,13,346,Bengaluru-India,2013-07-09T05:35:42.833Z,448,11
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,Vadim Borisov,expert,2019-03-13T12:57:26.887Z,840,268,255,13,221,Tübingen-Germany,2014-06-08T20:37:27.067Z,13,0
DIFFERENT COUNT PLOTS TRAN VS TEST,Orange,expert,2019-04-10T01:26:12.563Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6,Orange,expert,2019-04-10T01:35:06.3Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6
How to do EDA?,Frank Puk,expert,2019-04-04T17:23:07.907Z,1144,168,154,14,130,Arlington-United States,2014-02-28T07:35:31.54Z,15,136,Yassine Alouini,expert,2019-04-06T20:39:42.197Z,818,205,178,27,251,"Bordeaux, France-France",2014-03-10T07:49:31.513Z,24,105
Is it possible that Private LB will be completely different ranking than Public LB?,YonglinZhu,contributor,2019-04-08T02:59:29.947Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,X8X8D3N9,expert,2019-04-08T06:16:30.927Z,107,44,41,3,18,Tallahassee-USA,2017-11-01T03:33:59.867Z,3,8
Howcome the teams are increasing after merger deadline.,Ashish Gupta,expert,2019-04-10T18:43:06.89Z,,200,171,29,418,Toronto-Canada,2018-05-16T17:52:44.15Z,78,94,julian,contributor,2019-04-10T19:50:32.777Z,269,10,10,0,12,London-UK,2015-11-19T16:05:30.717Z,1,1
Will the results of this private Leaderboard change?,zhuangzhuang hong,novice,2019-04-11T14:21:16.84Z,738,7,1,6,33,-,2019-02-06T02:53:30.023Z,0,1,sandy1112,expert,2019-04-11T14:34:40.897Z,422,77,72,5,76,Bangalore-India,2016-04-01T04:45:11.467Z,3,14
"Any ideas, 0.910s ?",Neil Gao,expert,2019-04-09T14:06:48.01Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,Ilya Khristoforov,expert,2019-04-09T17:44:56.713Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
Maybe memes are the solution?,Kamal Chhirang,expert,2019-03-31T08:21:54.523Z,1353,155,136,19,257,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,MKotarba,contributor,2019-04-05T15:08:41.787Z,1493,19,19,0,108,Kraków-Poland,2017-10-25T11:23:56.957Z,0,10
A magic-hunting music playlist...,happycube,expert,2019-04-07T16:52:51.66Z,247,648,628,20,741,Goleta-United States,2015-07-29T05:24:06.363Z,22,6,Stanislav Blinov,expert,2019-04-07T18:17:01.367Z,272,113,107,6,56,Moscow-Russia,2019-02-25T15:19:43.347Z,1,0
Question to all Grandmasters and Uncles out there,AmirH,expert,2019-04-07T17:55:11.97Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,RDizzl3,master,2019-04-07T19:07:37.693Z,101,200,181,19,443,Los Angeles-USA,2015-02-08T00:44:55.953Z,94,79
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,gogogo,contributor,2019-03-14T01:25:25.61Z,,8,8,0,-47,Kuna-USA,2019-03-13T00:44:37.107Z,1,0
How to do EDA?,Frank Puk,expert,2019-04-04T17:23:07.907Z,1144,168,154,14,130,Arlington-United States,2014-02-28T07:35:31.54Z,15,136,Moradnejad,expert,2019-04-04T18:03:14.573Z,1378,95,83,12,143,Istanbul-Turkey,2018-08-06T09:18:23.173Z,26,25
Is it possible that Private LB will be completely different ranking than Public LB?,YonglinZhu,contributor,2019-04-08T02:59:29.947Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,timetraveller,contributor,2019-04-08T07:37:17.09Z,258,26,26,0,41,Delhi-India,2018-09-11T19:09:35.793Z,1,6
How long does it take to jump from 0.910 to 0.920?,Neil Gao,expert,2019-04-09T14:03:19.293Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,Manoj,expert,2019-04-09T14:20:02.197Z,732,356,295,61,465,Jajpur-India,2016-11-22T13:49:44.363Z,18,85
Collective write up,mey lone,contributor,2019-04-10T21:53:08.43Z,1631,43,42,1,58,Fredericton-Canada,2018-02-16T04:20:48.82Z,1,1,Yann Roussillon,novice,2019-04-10T22:08:26.18Z,2404,2,2,0,1,Flemington-USA,2017-12-08T00:24:10.283Z,0,0
Last day of madness,AmirH,expert,2019-04-10T10:37:15.213Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,authman,expert,2019-04-10T10:43:22.913Z,179,332,304,28,624,Irving-United States,2017-02-28T00:17:38.713Z,19,4
How much does ensemble help?,BX.,contributor,2019-04-10T19:04:06.373Z,24,15,14,1,10,Winston-Salem-USA,2018-06-03T15:45:06.83Z,2,12,Chris Deotte,master,2019-04-10T20:08:24.197Z,50,1707,1676,31,4649,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
Thanks for the competition,Debut_Kele,grandmaster,2019-04-10T15:02:21.797Z,26,146,117,29,533,Changsha-China,2015-02-23T21:29:50.207Z,347,19,kojimar,expert,2019-04-10T16:36:17.387Z,292,17,17,0,5,Tokyo-Japan,2018-04-08T10:13:44.813Z,4,6
The Cat Returns,nadare,expert,2019-04-09T21:36:06.3Z,291,11,7,4,24,Minoh-Japan,2018-06-01T08:03:08.14Z,15,7,Chris Deotte,master,2019-04-10T01:19:50.83Z,50,1707,1676,31,4649,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
"Any ideas, 0.910s ?",Neil Gao,expert,2019-04-09T14:06:48.01Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,emoji,contributor,2019-04-09T14:41:36.277Z,288,20,19,1,10,Beijing-China,2018-06-21T08:44:42.407Z,1,2
Maybe memes are the solution?,Kamal Chhirang,expert,2019-03-31T08:21:54.523Z,1353,155,136,19,257,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Lukasz Grad,master,2019-04-02T20:29:35.6Z,13,89,86,3,214,Warsaw-Poland,2017-06-23T09:53:29.657Z,53,2
A magic-hunting music playlist...,happycube,expert,2019-04-07T16:52:51.66Z,247,648,628,20,741,Goleta-United States,2015-07-29T05:24:06.363Z,22,6,Giba,grandmaster,2019-04-07T19:23:48.823Z,7,632,598,34,4022,Curitiba-Brazil,2012-08-23T17:26:51.11Z,6020,23
Question to all Grandmasters and Uncles out there,AmirH,expert,2019-04-07T17:55:11.97Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,fatihöztürk,master,2019-04-08T10:06:36.393Z,15,330,315,15,762,Istanbul-Turkey,2017-01-11T21:07:23.58Z,151,10
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,gogogo,contributor,2019-03-14T00:54:44.523Z,,8,8,0,-47,Kuna-USA,2019-03-13T00:44:37.107Z,1,0
How to do EDA?,Frank Puk,expert,2019-04-04T17:23:07.907Z,1144,168,154,14,130,Arlington-United States,2014-02-28T07:35:31.54Z,15,136,interneuron,master,2019-04-06T23:38:22.377Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
Is it possible that Private LB will be completely different ranking than Public LB?,YonglinZhu,contributor,2019-04-08T02:59:29.947Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,Aman.cyberia,expert,2019-04-09T13:00:14.317Z,1622,95,62,33,293,Dublin-Ireland,2016-03-08T20:17:09.9Z,7,103
How long does it take to jump from 0.910 to 0.920?,Neil Gao,expert,2019-04-09T14:03:19.293Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,CPMP,grandmaster,2019-04-09T17:56:45.21Z,15,5018,4781,237,12237,-France,2012-12-16T12:03:05.527Z,2106,0
Collective write up,mey lone,contributor,2019-04-10T21:53:08.43Z,1631,43,42,1,58,Fredericton-Canada,2018-02-16T04:20:48.82Z,1,1,Ilu,expert,2019-04-10T22:23:26.81Z,58,255,249,6,394,Aachen-Germany,2019-01-05T19:17:10.167Z,11,1
Last day of madness,AmirH,expert,2019-04-10T10:37:15.213Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,Psi,expert,2019-04-10T10:56:58.493Z,7,274,270,4,836,Vienna-Austria,2012-03-29T14:12:46.277Z,180,7
How much does ensemble help?,BX.,contributor,2019-04-10T19:04:06.373Z,24,15,14,1,10,Winston-Salem-USA,2018-06-03T15:45:06.83Z,2,12,Tilii,grandmaster,2019-04-10T19:30:22.61Z,2952,1445,1352,93,5021,-USA,2016-03-06T08:29:19.203Z,521,0
The Cat Returns,nadare,expert,2019-04-09T21:36:06.3Z,291,11,7,4,24,Minoh-Japan,2018-06-01T08:03:08.14Z,15,7,Ilya Khristoforov,expert,2019-04-10T03:50:58.34Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
"Any ideas, 0.910s ?",Neil Gao,expert,2019-04-09T14:06:48.01Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,Chuanle Dou,expert,2019-04-09T14:17:39.723Z,113,21,18,3,25,Tianjin-China,2018-01-15T06:54:40.5Z,2,8
Maybe memes are the solution?,Kamal Chhirang,expert,2019-03-31T08:21:54.523Z,1353,155,136,19,257,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Carlo Lepelaars,expert,2019-04-11T16:13:07.99Z,1289,370,359,11,399,Eindhoven-Netherlands,2018-05-31T10:34:51.69Z,48,80
Question to all Grandmasters and Uncles out there,AmirH,expert,2019-04-07T17:55:11.97Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,bearstrikesback,expert,2019-04-07T18:20:52.687Z,132,113,111,2,130,Moscow-Russia,2015-06-07T23:53:45.087Z,3,0
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,zcistkidd,expert,2019-03-13T17:54:27.94Z,2497,31,28,3,16,Vancouver-Canada,2017-05-12T17:38:19.617Z,2,15
How to do EDA?,Frank Puk,expert,2019-04-04T17:23:07.907Z,1144,168,154,14,130,Arlington-United States,2014-02-28T07:35:31.54Z,15,136,Leonard,novice,2019-04-05T01:44:37.737Z,,3,3,0,1,-,2017-11-17T01:39:23.77Z,0,1
How long does it take to jump from 0.910 to 0.920?,Neil Gao,expert,2019-04-09T14:03:19.293Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,Strideradu,master,2019-04-09T19:54:43.553Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42
One tiny framework for Kaggle competitions,true_pk,master,2019-04-11T03:55:51.11Z,22,65,59,6,168,Gatineau-Canada,2014-09-10T11:09:39.773Z,6,6,Winter,novice,2019-04-11T04:05:58.14Z,671,20,20,0,4,-,2019-03-23T05:07:01.313Z,1,6
Magic kernel from 26th ,bird,master,2019-04-11T00:47:05.417Z,25,14,12,2,65,Hangzhou-China,2015-12-12T17:03:36.31Z,98,8,dhaqui the kaggler,expert,2019-04-11T03:33:58.827Z,1016,156,153,3,86,Tokyo-Japan,2018-11-19T07:36:04.663Z,9,6
Why neural network work in this problem?,Yakin,contributor,2019-04-12T09:18:40.9Z,3278,42,32,10,22,Patuakhali-Bangladesh,2018-03-25T06:32:17.347Z,14,185,CPMP,grandmaster,2019-04-12T11:03:45.283Z,15,5018,4781,237,12237,-France,2012-12-16T12:03:05.527Z,2106,0
Santander's (likely) motivation,George Okromchedlishvili,expert,2019-04-05T14:29:58.823Z,183,67,59,8,76,Moscow-Russia,2018-12-27T14:58:41.313Z,4,3,interneuron,master,2019-04-05T15:04:53.6Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
List of FE methods,Neil Gao,expert,2019-04-11T00:51:56.25Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,bearstrikesback,expert,2019-04-11T00:58:12.787Z,132,113,111,2,130,Moscow-Russia,2015-06-07T23:53:45.087Z,3,0
Why add fake data?,PranavP,contributor,2019-04-11T00:59:29.637Z,472,27,23,4,17,Hyderabad-India,2018-09-11T11:50:23.13Z,1,6,CPMP,grandmaster,2019-04-11T01:03:49.67Z,15,5018,4781,237,12237,-France,2012-12-16T12:03:05.527Z,2106,0
"The deadline ""2 days to go"" is not precise enough",MasterScrat,contributor,2019-04-09T11:16:45.287Z,2386,61,50,11,74,Lausanne-Switzerland,2018-10-14T14:00:37.293Z,7,33,MasterScrat,contributor,2019-04-09T11:57:56Z,2386,61,50,11,74,Lausanne-Switzerland,2018-10-14T14:00:37.293Z,7,33
How far have you been from finding leak/magic?,Darko Androcec,contributor,2019-04-11T07:26:15.513Z,1835,31,19,12,57,Varaždin-Croatia,2018-09-14T08:04:16.983Z,2,0,Moradnejad,expert,2019-04-11T09:01:10.293Z,1378,95,83,12,143,Istanbul-Turkey,2018-08-06T09:18:23.173Z,26,25
Last day of madness,AmirH,expert,2019-04-10T10:37:15.213Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,dhaqui the kaggler,expert,2019-04-10T10:58:40.793Z,1016,156,153,3,86,Tokyo-Japan,2018-11-19T07:36:04.663Z,9,6
How much does ensemble help?,BX.,contributor,2019-04-10T19:04:06.373Z,24,15,14,1,10,Winston-Salem-USA,2018-06-03T15:45:06.83Z,2,12,Strideradu,master,2019-04-10T19:33:12.41Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42
The Cat Returns,nadare,expert,2019-04-09T21:36:06.3Z,291,11,7,4,24,Minoh-Japan,2018-06-01T08:03:08.14Z,15,7,wanghui,contributor,2019-04-10T08:37:42.097Z,155,20,17,3,4,Nanjing-China,2018-05-31T08:36:42.127Z,2,2
Maybe memes are the solution?,Kamal Chhirang,expert,2019-03-31T08:21:54.523Z,1353,155,136,19,257,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,MarkPotanin,contributor,2019-04-05T16:46:07.563Z,157,7,6,1,9,Moscow-Russia,2016-10-20T22:23:58.077Z,0,0
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,TRV Anandharajan,contributor,2019-03-15T04:32:42.87Z,7802,1,1,0,0,Hyderabad-India,2019-01-16T14:02:46.287Z,0,9
How to do EDA?,Frank Puk,expert,2019-04-04T17:23:07.907Z,1144,168,154,14,130,Arlington-United States,2014-02-28T07:35:31.54Z,15,136,Frank Puk,expert,2019-04-07T22:06:05.597Z,1144,168,154,14,130,Arlington-United States,2014-02-28T07:35:31.54Z,15,136
How long does it take to jump from 0.910 to 0.920?,Neil Gao,expert,2019-04-09T14:03:19.293Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,WispZero,expert,2019-04-09T14:32:39.633Z,54,12,11,1,54,Moscow-Russia,2015-10-26T11:26:31.007Z,1,0
Santander's (likely) motivation,George Okromchedlishvili,expert,2019-04-05T14:29:58.823Z,183,67,59,8,76,Moscow-Russia,2018-12-27T14:58:41.313Z,4,3,Yassine Alouini,expert,2019-04-06T08:48:37.307Z,818,205,178,27,251,"Bordeaux, France-France",2014-03-10T07:49:31.513Z,24,105
"The deadline ""2 days to go"" is not precise enough",MasterScrat,contributor,2019-04-09T11:16:45.287Z,2386,61,50,11,74,Lausanne-Switzerland,2018-10-14T14:00:37.293Z,7,33,Viktor Astrakhantsev,contributor,2019-04-09T11:39:32.06Z,2609,1,1,0,0,Ulan-Ude-Russia,2019-03-13T13:25:28.443Z,1,0
How far have you been from finding leak/magic?,Darko Androcec,contributor,2019-04-11T07:26:15.513Z,1835,31,19,12,57,Varaždin-Croatia,2018-09-14T08:04:16.983Z,2,0,Ilya Khristoforov,expert,2019-04-11T08:02:41.733Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
Last day of madness,AmirH,expert,2019-04-10T10:37:15.213Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,Evan,contributor,2019-04-10T11:04:28.427Z,,30,23,7,3,England-USA,2018-12-18T11:16:04.57Z,0,11
How much does ensemble help?,BX.,contributor,2019-04-10T19:04:06.373Z,24,15,14,1,10,Winston-Salem-USA,2018-06-03T15:45:06.83Z,2,12,Chris Deotte,master,2019-04-10T21:02:50.753Z,50,1707,1676,31,4649,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
Maybe memes are the solution?,Kamal Chhirang,expert,2019-03-31T08:21:54.523Z,1353,155,136,19,257,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Yury Kashnitsky,master,2019-04-02T18:45:38.49Z,,395,360,35,1505,Amsterdam-Netherlands,2014-03-27T13:30:04.747Z,703,6
autumn4577 and autumn45777,Bojan Tunguz,grandmaster,2019-03-13T01:21:43.18Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,Timmmmmms,contributor,2019-03-15T07:22:11.313Z,1873,92,87,5,37,Guangzhou-China,2018-12-27T12:57:41.37Z,0,6
How long does it take to jump from 0.910 to 0.920?,Neil Gao,expert,2019-04-09T14:03:19.293Z,81,7,1,6,20,Edison-USA,2016-03-08T18:11:19.96Z,2,2,Felipe Mello,expert,2019-04-09T18:22:48.173Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11
What is your CV?,Fredrik Jonsson,expert,2019-04-09T11:59:18.7Z,41,265,260,5,708,Umeå-Sverige,2016-07-15T13:03:26.56Z,32,0,Giba,grandmaster,2019-04-09T12:53:14.697Z,7,632,598,34,4022,Curitiba-Brazil,2012-08-23T17:26:51.11Z,6020,23
